block;num_tones;prob;style;running_no;file_name;difficulty
5;4;60;A;20;block_05_tc4_p60_styleA_20;medium
5;4;60;A;21;block_05_tc4_p60_styleA_21;medium
5;4;60;A;22;block_05_tc4_p60_styleA_22;medium
5;4;60;A;23;block_05_tc4_p60_styleA_23;medium
5;4;60;A;24;block_05_tc4_p60_styleA_24;medium
5;4;60;A;25;block_05_tc4_p60_styleA_25;medium
5;4;60;B;1;block_05_tc4_p60_styleB_01;medium
5;4;60;B;2;block_05_tc4_p60_styleB_02;medium
5;4;60;B;3;block_05_tc4_p60_styleB_03;medium
5;4;60;B;4;block_05_tc4_p60_styleB_04;medium
5;4;60;B;5;block_05_tc4_p60_styleB_05;medium
5;4;60;B;6;block_05_tc4_p60_styleB_06;medium
5;4;60;B;7;block_05_tc4_p60_styleB_07;medium
5;4;60;B;8;block_05_tc4_p60_styleB_08;medium
5;4;60;B;9;block_05_tc4_p60_styleB_09;medium
5;4;60;B;10;block_05_tc4_p60_styleB_10;medium
5;4;60;B;11;block_05_tc4_p60_styleB_11;medium
5;4;60;B;12;block_05_tc4_p60_styleB_12;medium
5;4;60;B;13;block_05_tc4_p60_styleB_13;medium
5;4;60;B;14;block_05_tc4_p60_styleB_14;medium
5;4;60;B;15;block_05_tc4_p60_styleB_15;medium
5;4;60;B;16;block_05_tc4_p60_styleB_16;medium
5;4;60;B;17;block_05_tc4_p60_styleB_17;medium
5;4;60;B;18;block_05_tc4_p60_styleB_18;medium
5;4;60;B;19;block_05_tc4_p60_styleB_19;medium
5;4;60;B;20;block_05_tc4_p60_styleB_20;medium
5;4;60;B;21;block_05_tc4_p60_styleB_21;medium
5;4;60;B;22;block_05_tc4_p60_styleB_22;medium
5;4;60;B;23;block_05_tc4_p60_styleB_23;medium
5;4;60;B;24;block_05_tc4_p60_styleB_24;medium
5;4;60;B;25;block_05_tc4_p60_styleB_25;medium
6;4;70;A;1;block_06_tc4_p70_styleA_01;medium
6;4;70;A;2;block_06_tc4_p70_styleA_02;medium
6;4;70;A;3;block_06_tc4_p70_styleA_03;medium
6;4;70;A;4;block_06_tc4_p70_styleA_04;medium
6;4;70;A;5;block_06_tc4_p70_styleA_05;medium
6;4;70;A;6;block_06_tc4_p70_styleA_06;medium
6;4;70;A;7;block_06_tc4_p70_styleA_07;medium
6;4;70;A;8;block_06_tc4_p70_styleA_08;medium
6;4;70;A;9;block_06_tc4_p70_styleA_09;medium
6;4;70;A;10;block_06_tc4_p70_styleA_10;medium
6;4;70;A;11;block_06_tc4_p70_styleA_11;medium
6;4;70;A;12;block_06_tc4_p70_styleA_12;medium
6;4;70;A;13;block_06_tc4_p70_styleA_13;medium
6;4;70;A;14;block_06_tc4_p70_styleA_14;medium
6;4;70;A;15;block_06_tc4_p70_styleA_15;medium
6;4;70;A;16;block_06_tc4_p70_styleA_16;medium
6;4;70;A;17;block_06_tc4_p70_styleA_17;medium
6;4;70;A;18;block_06_tc4_p70_styleA_18;medium
6;4;70;A;19;block_06_tc4_p70_styleA_19;medium
6;4;70;A;20;block_06_tc4_p70_styleA_20;medium
6;4;70;A;21;block_06_tc4_p70_styleA_21;medium
6;4;70;A;22;block_06_tc4_p70_styleA_22;medium
6;4;70;A;23;block_06_tc4_p70_styleA_23;medium
6;4;70;A;24;block_06_tc4_p70_styleA_24;medium
6;4;70;A;25;block_06_tc4_p70_styleA_25;medium
6;4;70;B;1;block_06_tc4_p70_styleB_01;medium
6;4;70;B;2;block_06_tc4_p70_styleB_02;medium
6;4;70;B;3;block_06_tc4_p70_styleB_03;medium
6;4;70;B;4;block_06_tc4_p70_styleB_04;medium
6;4;70;B;5;block_06_tc4_p70_styleB_05;medium
6;4;70;B;6;block_06_tc4_p70_styleB_06;medium
6;4;70;B;7;block_06_tc4_p70_styleB_07;medium
6;4;70;B;8;block_06_tc4_p70_styleB_08;medium
6;4;70;B;9;block_06_tc4_p70_styleB_09;medium
6;4;70;B;10;block_06_tc4_p70_styleB_10;medium
6;4;70;B;11;block_06_tc4_p70_styleB_11;medium
6;4;70;B;12;block_06_tc4_p70_styleB_12;medium
6;4;70;B;13;block_06_tc4_p70_styleB_13;medium
6;4;70;B;14;block_06_tc4_p70_styleB_14;medium
6;4;70;B;15;block_06_tc4_p70_styleB_15;medium
6;4;70;B;16;block_06_tc4_p70_styleB_16;medium
6;4;70;B;17;block_06_tc4_p70_styleB_17;medium
6;4;70;B;18;block_06_tc4_p70_styleB_18;medium
6;4;70;B;19;block_06_tc4_p70_styleB_19;medium
6;4;70;B;20;block_06_tc4_p70_styleB_20;medium
6;4;70;B;21;block_06_tc4_p70_styleB_21;medium
6;4;70;B;22;block_06_tc4_p70_styleB_22;medium
6;4;70;B;23;block_06_tc4_p70_styleB_23;medium
6;4;70;B;24;block_06_tc4_p70_styleB_24;medium
6;4;70;B;25;block_06_tc4_p70_styleB_25;medium
7;4;80;A;1;block_07_tc4_p80_styleA_01;easy
7;4;80;A;2;block_07_tc4_p80_styleA_02;easy
7;4;80;A;3;block_07_tc4_p80_styleA_03;easy
7;4;80;A;4;block_07_tc4_p80_styleA_04;easy
7;4;80;A;5;block_07_tc4_p80_styleA_05;easy
7;4;80;A;6;block_07_tc4_p80_styleA_06;easy
7;4;80;A;7;block_07_tc4_p80_styleA_07;easy
7;4;80;A;8;block_07_tc4_p80_styleA_08;easy
7;4;80;A;9;block_07_tc4_p80_styleA_09;easy
7;4;80;A;10;block_07_tc4_p80_styleA_10;easy
7;4;80;A;11;block_07_tc4_p80_styleA_11;easy
7;4;80;A;12;block_07_tc4_p80_styleA_12;easy
7;4;80;A;13;block_07_tc4_p80_styleA_13;easy
7;4;80;A;14;block_07_tc4_p80_styleA_14;easy
7;4;80;A;15;block_07_tc4_p80_styleA_15;easy
7;4;80;A;16;block_07_tc4_p80_styleA_16;easy
7;4;80;A;17;block_07_tc4_p80_styleA_17;easy
7;4;80;A;18;block_07_tc4_p80_styleA_18;easy
7;4;80;A;19;block_07_tc4_p80_styleA_19;easy
7;4;80;A;20;block_07_tc4_p80_styleA_20;easy
7;4;80;A;21;block_07_tc4_p80_styleA_21;easy
7;4;80;A;22;block_07_tc4_p80_styleA_22;easy
7;4;80;A;23;block_07_tc4_p80_styleA_23;easy
7;4;80;A;24;block_07_tc4_p80_styleA_24;easy
7;4;80;A;25;block_07_tc4_p80_styleA_25;easy
7;4;80;B;1;block_07_tc4_p80_styleB_01;easy
7;4;80;B;2;block_07_tc4_p80_styleB_02;easy
7;4;80;B;3;block_07_tc4_p80_styleB_03;easy
7;4;80;B;4;block_07_tc4_p80_styleB_04;easy
7;4;80;B;5;block_07_tc4_p80_styleB_05;easy
7;4;80;B;6;block_07_tc4_p80_styleB_06;easy
7;4;80;B;7;block_07_tc4_p80_styleB_07;easy
7;4;80;B;8;block_07_tc4_p80_styleB_08;easy
7;4;80;B;9;block_07_tc4_p80_styleB_09;easy
7;4;80;B;10;block_07_tc4_p80_styleB_10;easy
7;4;80;B;11;block_07_tc4_p80_styleB_11;easy
7;4;80;B;12;block_07_tc4_p80_styleB_12;easy
7;4;80;B;13;block_07_tc4_p80_styleB_13;easy
7;4;80;B;14;block_07_tc4_p80_styleB_14;easy
7;4;80;B;15;block_07_tc4_p80_styleB_15;easy
7;4;80;B;16;block_07_tc4_p80_styleB_16;easy
7;4;80;B;17;block_07_tc4_p80_styleB_17;easy
7;4;80;B;18;block_07_tc4_p80_styleB_18;easy
7;4;80;B;19;block_07_tc4_p80_styleB_19;easy
7;4;80;B;20;block_07_tc4_p80_styleB_20;easy
7;4;80;B;21;block_07_tc4_p80_styleB_21;easy
7;4;80;B;22;block_07_tc4_p80_styleB_22;easy
7;4;80;B;23;block_07_tc4_p80_styleB_23;easy
7;4;80;B;24;block_07_tc4_p80_styleB_24;easy
7;4;80;B;25;block_07_tc4_p80_styleB_25;easy
8;4;90;A;1;block_08_tc4_p90_styleA_01;easy
8;4;90;A;2;block_08_tc4_p90_styleA_02;easy
8;4;90;A;3;block_08_tc4_p90_styleA_03;easy
8;4;90;A;4;block_08_tc4_p90_styleA_04;easy
8;4;90;A;5;block_08_tc4_p90_styleA_05;easy
8;4;90;A;6;block_08_tc4_p90_styleA_06;easy
8;4;90;A;7;block_08_tc4_p90_styleA_07;easy
8;4;90;A;8;block_08_tc4_p90_styleA_08;easy
8;4;90;A;9;block_08_tc4_p90_styleA_09;easy
8;4;90;A;10;block_08_tc4_p90_styleA_10;easy
8;4;90;A;11;block_08_tc4_p90_styleA_11;easy
8;4;90;A;12;block_08_tc4_p90_styleA_12;easy
8;4;90;A;13;block_08_tc4_p90_styleA_13;easy
8;4;90;A;14;block_08_tc4_p90_styleA_14;easy
8;4;90;A;15;block_08_tc4_p90_styleA_15;easy
8;4;90;A;16;block_08_tc4_p90_styleA_16;easy
8;4;90;A;17;block_08_tc4_p90_styleA_17;easy
8;4;90;A;18;block_08_tc4_p90_styleA_18;easy
8;4;90;A;19;block_08_tc4_p90_styleA_19;easy
8;4;90;A;20;block_08_tc4_p90_styleA_20;easy
8;4;90;A;21;block_08_tc4_p90_styleA_21;easy
8;4;90;A;22;block_08_tc4_p90_styleA_22;easy
8;4;90;A;23;block_08_tc4_p90_styleA_23;easy
8;4;90;A;24;block_08_tc4_p90_styleA_24;easy
8;4;90;A;25;block_08_tc4_p90_styleA_25;easy
8;4;90;B;1;block_08_tc4_p90_styleB_01;easy
8;4;90;B;2;block_08_tc4_p90_styleB_02;easy
8;4;90;B;3;block_08_tc4_p90_styleB_03;easy
8;4;90;B;4;block_08_tc4_p90_styleB_04;easy
8;4;90;B;5;block_08_tc4_p90_styleB_05;easy
8;4;90;B;6;block_08_tc4_p90_styleB_06;easy
8;4;90;B;7;block_08_tc4_p90_styleB_07;easy
8;4;90;B;8;block_08_tc4_p90_styleB_08;easy
8;4;90;B;9;block_08_tc4_p90_styleB_09;easy
8;4;90;B;10;block_08_tc4_p90_styleB_10;easy
8;4;90;B;11;block_08_tc4_p90_styleB_11;easy
8;4;90;B;12;block_08_tc4_p90_styleB_12;easy
8;4;90;B;13;block_08_tc4_p90_styleB_13;easy
8;4;90;B;14;block_08_tc4_p90_styleB_14;easy
8;4;90;B;15;block_08_tc4_p90_styleB_15;easy
8;4;90;B;16;block_08_tc4_p90_styleB_16;easy
8;4;90;B;17;block_08_tc4_p90_styleB_17;easy
8;4;90;B;18;block_08_tc4_p90_styleB_18;easy
8;4;90;B;19;block_08_tc4_p90_styleB_19;easy
8;4;90;B;20;block_08_tc4_p90_styleB_20;easy
8;4;90;B;21;block_08_tc4_p90_styleB_21;easy
8;4;90;B;22;block_08_tc4_p90_styleB_22;easy
8;4;90;B;23;block_08_tc4_p90_styleB_23;easy
8;4;90;B;24;block_08_tc4_p90_styleB_24;easy
